"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Ashton Dulin","IND","1","WR","1","1","0","4","0","0","0","0","100","-3","4","4","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.4","0.16","1.4"
"Brandon Zylstra","CAR","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Marquise Brown","BLT","1","WR","4","4","0","45","0","1","0","0","100","12.75","11.25","11.25","0.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.5","0.32","3.63"
"Keelan Cole","JAX","1","WR","6","3","1","76","0","0","0","0","50","14","12.67","25.33","9.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.6","0.25","3.53"
"A.J. Brown","TEN","1","WR","13","8","1","114","1","1","0","0","61.5","14.15","8.77","14.25","4.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","25.4","0.41","3.17"
"Deebo Samuel","SF","1","WR","3","1","0","29","0","0","0","1","33.3","7","9.67","29","31","","","","","","","","","","","","1","0","8","0","0","0","8","3","1","1","0","","","","","","","","","0","0","4.7","0.08","2.35"
"D.J. Moore","CAR","1","WR","12","8","0","113","1","0","0","0","66.7","13.25","9.42","14.13","5.5","","","","","","","","","","","","1","0","10","0","0","0","10","6","1","1","1","","","","","","","","","0","0","20.3","0.29","2.26"
"Terry McLaurin","WAS","1","WR","5","5","1","130","1","1","1","0","100","13","26","26","13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","24","0.51","4.8"
"Courtland Sutton","DEN","1","WR","9","4","0","79","0","0","0","2","44.4","9","8.78","19.75","15.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.9","0.22","2.98"
"Stanley Morgan Jr.","CIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jeff Smith","NYJ","1","WR","2","1","0","12","0","0","0","0","50","23","6","12","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.2","0.16","2.2"
"Riley Ridley","CHI","1","WR","3","2","0","10","0","0","0","0","66.7","17.67","3.33","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3","0.07","1.5"
"D.K. Metcalf","SEA","1","WR","4","2","0","36","0","1","0","0","50","24.25","9","18","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.6","0.21","5.8"
"Scotty Miller","TB","1","WR","3","3","0","49","0","1","0","0","100","14","16.33","16.33","2.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.9","1.26","4.63"
"Jakobi Meyers","NE","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Andy Isabella","ARZ","1","WR","1","1","0","4","0","0","0","0","100","-4","4","4","8","","","","","","","","","","","","1","0","-1","0","0","0","-1","0","0","0","0","","","","","","","","","0","0","1.3","0.09","0.65"
"Mecole Hardman","KC","1","WR","2","1","0","10","0","0","0","0","50","10","5","10","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.14","2"
"Byron Pringle","KC","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Diontae Johnson","PIT","1","WR","7","5","0","62","0","0","0","0","71.4","7.43","8.86","12.4","5.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","11.2","0.25","2.24"
"Chris Lacy","DET","1","WR","2","1","1","48","0","0","0","0","50","25","24","48","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.8","0.14","5.8"
"Rico Gafford","OAK","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"KhaDarel Hodge","CLV","1","WR","1","0","0","0","0","0","0","0","0","6","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Michael Gallup","DAL","1","WR","3","1","0","6","0","0","0","0","33.3","11.67","2","6","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.03","1.6"
"Darius Slayton","NYG","1","WR","3","2","0","31","0","1","0","0","66.7","17.67","10.33","15.5","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.1","0.24","5.55"
"Marcell Ateman","OAK","1","WR","1","0","0","0","0","0","0","0","0","47","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Zach Pascal","IND","1","WR","6","4","0","44","0","0","0","0","66.7","10","7.33","11","6.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.4","0.19","2.1"
"Krishawn Hogan","NO","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Robert Davis","PHI","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Isaiah McKenzie","BUF","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Josh Reynolds","LA","1","WR","3","2","0","36","0","0","0","0","66.7","6.33","12","18","16.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.6","0.21","2.8"
"Kenny Golladay","DET","1","WR","7","3","0","44","0","0","0","0","42.9","13.57","6.29","14.67","0.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.4","0.12","2.47"
"John Ross","CIN","1","WR","3","2","0","24","0","0","0","0","66.7","21","8","12","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.4","0.18","2.2"
"Mike Williams","LAC","1","WR","9","4","0","71","0","1","0","0","44.4","19.89","7.89","17.75","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.1","0.33","4.28"
"Johnny Holton","PIT","1","WR","2","2","0","-1","0","0","0","0","100","-0.5","-0.5","-0.5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.9","0.15","0.95"
"Robby Anderson","NYJ","1","WR","6","4","1","66","0","0","0","0","66.7","13.5","11","16.5","2.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","10.6","0.18","2.65"
"Demarcus Robinson","KC","1","WR","3","2","0","21","0","0","0","0","66.7","5","7","10.5","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.1","0.11","2.05"
"Tyler Boyd","CIN","1","WR","6","3","0","26","0","0","0","0","50","7.67","4.33","8.67","7.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.6","0.1","1.87"
"Michael Thomas","NO","1","WR","12","12","0","128","1","1","0","0","100","9.25","10.67","10.67","1.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","30.8","0.64","2.57"
"Will Fuller V","HST","1","WR","7","5","0","61","0","0","0","0","71.4","13.86","8.71","12.2","4.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.1","0.19","2.22"
"Tyrell Williams","OAK","1","WR","3","2","1","45","0","1","1","1","66.7","7.33","15","22.5","15","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.5","0.17","6.25"
"Damiere Byrd","ARZ","1","WR","6","6","1","86","0","0","0","0","100","6.83","14.33","14.33","7.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.6","0.7","2.43"
"Stefon Diggs","MIN","1","WR","6","4","1","76","0","0","0","0","66.7","16.5","12.67","19","1.25","","","","","","","","","","","","1","0","4","0","0","0","4","2","1","1","0","","","","","","","","","0","0","12","0.26","2.4"
"Justin Hardy","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
