"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","35","28","13","0","54.2","153","0","14.79","0","0","0","3","4","","","","","","5","26","1","0","1","","","","","","","0","0","11.7","0.33"
"Mason Rudolph","PIT","1","28","28","24","0","88.9","229","0","3","2","1","0","0","0","","","","","","3","-3","0","0","0","","","","","","","0","0","16.9","0.6"
"Baker Mayfield","CLV","1","32","30","20","1","75","342","1","6.21","1","0","0","1","1","","","","","","3","1","0","0","0","","","","","","","0","1","16.8","0.53"
"Lamar Jackson","BLT","1","39","34","24","3","84.4","247","0","8.84","3","1","1","2","4","","","","","","9","66","0","0","1","","","","","","","0","0","26.5","0.68"
"Dwayne Haskins","WAS","1","21","17","9","0","60","107","0","7.4","0","0","0","3","2","","","","","","2","23","0","0","0","","","","","","","0","0","3.6","0.17"
"Gardner Minshew","JAX","1","39","33","19","1","66.7","213","0","11.53","2","0","0","0","5","","","","","","1","2","0","0","1","","","","","","","0","0","16.7","0.43"
"Daniel Jones","NYG","1","34","31","23","1","77.4","225","0","5.29","1","0","0","2","0","","","","","","5","33","0","0","0","","","","","","","0","0","14.3","0.42"
"Kyler Murray","ARZ","1","38","32","22","1","79.3","241","0","4.97","0","0","0","1","4","","","","","","4","27","1","0","0","","","","","","","0","0","17.3","0.46"
"Josh Rosen","MIA","1","28","24","17","3","83.3","180","0","6.04","1","0","0","1","4","","","","","","0","0","0","0","1","","","","","","","0","0","10.2","0.36"
"Kyle Allen","CAR","1","37","34","24","0","75","232","0","8.28","0","0","0","0","3","","","","","","0","0","0","0","3","","","","","","","0","0","9.3","0.25"
"Taysom Hill","NO","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","2","16","0","0","0","","","","","","","0","0","1.6",""
"Deshaun Watson","HST","1","42","33","21","0","67.7","160","0","9.84","0","0","0","0","6","","","","","","3","12","1","0","1","","","","","","","0","0","13.6","0.32"
"Patrick Mahomes","KC","1","47","42","24","0","68.6","315","1","11.11","0","0","0","0","0","","","","","","6","54","0","0","0","","","","","","","0","0","18","0.38"
"Mitchell Trubisky","CHI","1","3","3","2","1","100","9","0","1","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0.4","0.13"
"Dak Prescott","DAL","1","35","33","22","1","76.7","223","0","10.6","0","0","0","1","1","","","","","","1","7","0","0","0","","","","","","","0","0","8.6","0.25"
"Jacoby Brissett","IND","1","50","46","24","5","67.4","265","0","11.02","3","1","0","1","0","","","","","","5","19","0","0","0","","","","","","","0","0","23.5","0.47"
"Carson Wentz","PHI","1","29","27","16","2","69.2","160","0","7.54","3","0","0","0","0","","","","","","6","13","0","0","0","","","","","","","0","1","19.7","0.68"
"Jared Goff","LA","1","70","68","45","3","77.4","517","1","7.39","2","0","0","3","2","","","","","","0","0","0","0","1","","","","","","","0","1","25.7","0.37"
"Marcus Mariota","TEN","1","29","27","18","1","86.4","227","0","6.14","3","1","1","0","0","","","","","","3","22","0","0","1","","","","","","","0","0","23.3","0.8"
"Jameis Winston","TB","1","43","41","28","0","75.7","385","1","9.41","4","1","1","1","2","","","","","","1","-1","0","0","0","","","","","","","0","0","30.3","0.7"
