"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","43","34","16","3","61.3","169","0","8.9","2","0","0","0","4","","","","","","8","45","0","0","3","","","","","","","0","0","19.3","0.45"
"Mason Rudolph","PIT","1","38","36","20","1","61.8","251","0","13.06","2","1","0","1","2","","","","","","0","0","0","0","1","","","","","","","0","0","17","0.45"
"Baker Mayfield","CLV","1","37","31","20","1","70","194","0","8.1","1","0","0","1","5","","","","","","1","18","0","0","0","","","","","","","0","0","12.6","0.34"
"Ryan Finley","CIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Dwayne Haskins","WAS","1","7","5","3","0","60","33","0","3.6","0","0","0","1","2","","","","","","0","0","0","0","0","","","","","","","0","0","0.3","0.04"
"Gardner Minshew","JAX","1","40","34","22","2","75","279","0","7.38","3","1","1","0","2","","","","","","8","28","0","0","1","","","","","","","0","0","26","0.65"
"Daniel Jones","NYG","1","45","41","28","1","80.6","322","1","8.25","4","0","0","0","3","","","","","","4","13","0","0","2","","","","","","","0","1","30.2","0.67"
"Kyler Murray","ARZ","1","36","33","19","2","70","220","0","7.83","0","0","0","0","3","","","","","","2","13","0","0","1","","","","","","","0","0","10.1","0.28"
"Will Grier","CAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Josh Rosen","MIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Devlin Hodges","PIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Kyle Shurmur","KC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Sam Darnold","NYJ","1","38","30","21","2","82.1","218","0","7.39","2","0","0","3","8","","","","","","1","-1","0","0","1","","","","","","","1","1","13.6","0.36"
"Kyle Allen","CAR","1","44","37","19","2","58.3","158","0","9.78","0","0","0","3","7","","","","","","0","0","0","0","0","","","","","","","0","1","3.3","0.07"
"Danny Etling","ATL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
