"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Gunner Olszewski","NE","1","WR","3","2","0","34","0","0","0","0","66.7","9","11.33","17","8.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.4","0.11","2.7"
"Jason Moore","LAC","1","WR","2","2","0","43","0","0","0","0","100","18.5","21.5","21.5","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.3","1.26","3.15"
"Damion Willis","CIN","1","WR","1","0","0","0","0","0","0","1","0","10","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"A.J. Brown","TEN","1","WR","4","2","0","23","0","0","0","1","50","10","5.75","11.5","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","4.3","0.11","2.15"
"Deebo Samuel","SF","1","WR","4","3","0","18","0","0","0","0","75","4","4.5","6","4","","","","","","","","","","","","1","0","1","0","0","0","1","1","0","0","0","","","","","","","","","0","0","4.9","0.1","1.23"
"D.J. Moore","CAR","1","WR","10","7","0","73","0","0","0","1","70","9.4","7.3","10.43","2.71","","","","","","","","","","","","1","0","13","0","0","0","13","6","1","1","0","","","","","","","","","0","0","15.6","0.26","1.95"
"Terry McLaurin","WAS","1","WR","6","4","0","100","1","2","0","1","66.7","20.17","16.67","25","2.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","26","0.46","6.5"
"Miles Boykin","BLT","1","WR","3","2","0","28","0","0","0","0","66.7","16.33","9.33","14","4.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.8","0.11","2.4"
"Auden Tate","CIN","1","WR","10","5","0","91","0","0","0","0","50","13.2","9.1","18.2","0.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.1","0.27","2.82"
"Cedrick Wilson","DAL","1","WR","6","5","0","46","0","0","0","0","83.3","8.83","7.67","9.2","2.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.6","0.19","1.92"
"Courtland Sutton","DEN","1","WR","7","4","1","76","0","0","0","0","57.1","17","10.86","19","2.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","11.6","0.21","2.9"
"Dante Pettis","SF","1","WR","6","3","0","45","0","0","0","0","50","8.5","7.5","15","6.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.5","0.14","2.5"
"Jaleel Scott","BLT","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Trent Sherfield","ARZ","1","WR","1","1","0","38","0","0","0","0","100","34","38","38","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.8","0.13","4.8"
"D.K. Metcalf","SEA","1","WR","5","4","0","69","0","0","0","1","80","8.2","13.8","17.25","9.5","","","","","","","","","","","","1","0","4","0","0","0","4","3","1","1","0","","","","","","","","","0","0","11.3","0.19","2.26"
"Marquez Valdes-Scantling","GB","1","WR","2","2","1","48","0","0","0","0","100","19","24","24","5","","","","","","","","","","","","1","0","9","0","0","0","9","2","0","0","0","","","","","","","","","0","0","7.7","0.14","2.57"
"Scotty Miller","TB","1","WR","7","3","0","39","0","0","0","0","42.9","20.29","5.57","13","0.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.9","0.14","2.3"
"Andy Isabella","ARZ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Olamide Zaccheaus","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Mecole Hardman","KC","1","WR","4","4","0","45","0","0","0","0","100","1.5","11.25","11.25","9.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.5","0.29","2.13"
"Preston Williams","MIA","1","WR","6","2","0","31","0","0","0","0","33.3","13.5","5.17","15.5","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.1","0.08","2.55"
"Diontae Johnson","PIT","1","WR","2","2","0","14","0","0","0","0","100","1.5","7","7","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.4","0.08","1.7"
"Michael Gallup","DAL","1","WR","8","4","0","48","0","0","0","3","50","12.38","6","12","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.8","0.11","2.2"
"Darius Slayton","NYG","1","WR","7","3","0","32","0","0","0","0","42.9","16.14","4.57","10.67","4.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.2","0.13","2.07"
"Isaiah Ford","MIA","1","WR","1","0","0","0","0","0","0","0","0","15","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"David Moore","SEA","1","WR","4","3","0","36","0","0","0","0","75","13","9","12","3.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.6","0.37","2.2"
"Mack Hollins","PHI","1","WR","2","0","0","0","0","0","0","0","0","17","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Josh Reynolds","LA","1","WR","1","0","0","0","0","0","0","1","0","30","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Kenny Golladay","DET","1","WR","9","5","1","121","1","0","0","0","55.6","14.11","13.44","24.2","10.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.1","0.4","3.42"
"Marvin Hall","DET","1","WR","1","1","1","58","0","0","0","0","100","45","58","58","13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.8","0.68","6.8"
"Mike Thomas","LA","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Tajae Sharpe","TEN","1","WR","2","0","0","0","0","0","0","0","0","21.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Laquon Treadwell","MIN","1","WR","1","1","0","15","0","0","0","0","100","15","15","15","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.5","0.36","2.5"
"Darius Jennings","TEN","1","WR","1","0","0","0","0","0","0","0","0","33","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Damiere Byrd","ARZ","1","WR","2","2","1","60","0","0","0","0","100","20.5","30","30","9.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8","0.53","4"
"Geremy Davis","LAC","1","WR","1","1","0","13","0","0","0","0","100","13","13","13","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.3","0.13","2.3"
"Stefon Diggs","MIN","1","WR","11","7","2","167","1","3","2","2","63.6","22.18","15.18","23.86","6","","","","","","","","","","","","2","0","18","0","0","0","9","11","0","0","0","","","","","","","","","0","0","43.5","0.99","4.83"
"Justin Hardy","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Chris Conley","JAX","1","WR","3","0","0","0","0","0","0","0","0","12.67","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Amari Cooper","DAL","1","WR","2","1","0","3","0","0","0","0","50","10","1.5","3","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.3","0.43","1.3"
"Seth Roberts","BLT","1","WR","2","2","0","23","0","0","0","0","100","5.5","11.5","11.5","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.3","0.13","2.15"
"Paul Richardson Jr.","WAS","1","WR","4","0","0","0","0","0","0","0","0","11.75","0","0","0","","","","","","","","","","","","1","0","0","0","0","0","0","1","0","0","0","","","","","","","","","0","0","0","0","0"
"Marqise Lee","JAX","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","0","1","0","0","0","1","6","0","0","0","","","","","","","","","0","0","0.1","0.01","0.1"
"Brandin Cooks","LA","1","WR","3","3","0","18","0","0","0","0","100","1.67","6","6","4.33","","","","","","","","","","","","2","0","14","0","0","0","7","2","0","0","0","","","","","","","","","0","0","6.2","0.12","1.24"
"Mike Evans","TB","1","WR","16","9","0","96","0","0","0","2","56.3","14.5","6","10.67","2.22","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","18.6","0.25","2.07"
"DeAndre Hopkins","HST","1","WR","12","9","0","55","0","0","0","1","75","6.42","4.58","6.11","3.44","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","14.5","0.17","1.61"
"Josh Gordon","NE","1","WR","1","1","0","7","0","0","0","0","100","0","7","7","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.7","0.07","1.7"
"Marvin Jones Jr.","DET","1","WR","5","2","0","17","0","0","0","0","40","16","3.4","8.5","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.7","0.08","1.85"
"Julio Jones","ATL","1","WR","9","8","0","108","1","0","0","0","88.9","10.89","12","13.5","1.88","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18.8","0.42","2.35"
"Demaryius Thomas","NYJ","1","WR","4","4","0","62","0","0","0","0","100","8.25","15.5","15.5","7.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.2","0.21","2.55"
"Julian Edelman","NE","1","WR","15","9","0","113","1","0","0","2","60","10.47","7.53","12.56","3.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","20.3","0.28","2.26"
"Justin Watson","TB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Allen Lazard","GB","1","WR","5","4","0","65","0","1","0","0","80","15.2","13","16.25","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.5","0.97","4.13"
"Braxton Berrios","NYJ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Keke Coutee","HST","1","WR","6","4","0","39","0","0","0","0","66.7","9.17","6.5","9.75","7.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.9","0.18","1.98"
"Jakobi Meyers","NE","1","WR","4","4","0","54","0","0","0","0","100","11.75","13.5","13.5","1.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.4","0.17","2.35"
"Trey Quinn","WAS","1","WR","4","2","0","8","0","0","0","0","50","3.25","2","4","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.8","0.09","1.4"
"Darrius Shepherd","GB","1","WR","2","1","0","1","0","0","0","1","50","4","0.5","1","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.1","0.04","1.1"
"JoJo Natson","LA","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Ryan Switzer","PIT","1","WR","1","1","0","-2","0","0","0","0","100","-2","-2","-2","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0.8","0.13","0.8"
"Cooper Kupp","LA","1","WR","6","4","0","17","0","0","0","0","66.7","3.33","2.83","4.25","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.7","0.13","1.43"
