"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jason Witten","DAL","1","TE","8","6","0","42","0","1","0","1","75","6.13","5.25","7","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","16.2","0.29","2.7"
"Larry Fitzgerald","ARZ","1","WR","7","6","0","56","0","0","0","0","85.7","6.14","8","9.33","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.6","0.2","1.93"
"Benjamin Watson","NE","1","TE","1","1","0","23","0","0","0","0","100","6","23","23","17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.3","0.07","3.3"
"Frank Gore","BUF","1","RB","1","1","0","14","0","0","0","0","100","4","14","14","10","","","","","","","","","","","","9","0","11","0","0","0","1.22","1.89","0","0","0","","","","","","","","","0","0","3.5","0.23","0.35"
"Marcedes Lewis","GB","1","TE","2","1","0","1","0","1","0","0","50","3.5","0.5","1","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.1","0.26","7.1"
"Adrian Peterson","WAS","1","RB","1","0","0","0","0","0","0","1","0","1","0","0","0","","","","","","","","","","","","13","0","99","0","1","0","7.62","5.23","1","0.08","0","","","","","","","","","0","0","15.9","0.69","1.22"
"Ted Ginn Jr.","NO","1","WR","1","0","0","0","0","0","0","1","0","33","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Greg Olsen","CAR","1","TE","3","3","0","22","0","0","0","0","100","3.67","7.33","7.33","3.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.2","0.14","1.73"
"Danny Amendola","DET","1","WR","8","3","0","32","0","0","0","1","37.5","8","4","10.67","0.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.2","0.11","2.07"
"LeSean McCoy","KC","1","RB","3","3","0","20","0","0","0","0","100","-2","6.67","6.67","8.67","","","","","","","","","","","","5","0","10","0","1","0","2","2.2","0","0","0","","","","","","","","","0","0","12","0.5","1.5"
"Jared Cook","NO","1","TE","5","3","1","85","0","0","0","1","60","13.6","17","28.33","17.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.5","0.41","3.83"
