"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","30","25","13","4","81","139","0","12","1","0","0","1","1","","","","","","7","28","1","0","0","","","","","","","0","0","17.4","0.58"
"Baker Mayfield","CLV","1","46","43","30","2","76.2","247","0","6.64","2","0","0","1","1","","","","","","2","11","0","0","0","","","","","","","0","0","18","0.39"
"David Blough","DET","1","48","43","24","4","70","260","0","8.13","0","0","0","2","2","","","","","","5","19","0","0","1","","","","","","","0","0","10.3","0.21"
"Lamar Jackson","BLT","1","26","23","15","0","75","212","0","12.55","5","0","0","0","1","","","","","","8","86","0","0","1","","","","","","","0","0","37.1","1.43"
"Dwayne Haskins","WAS","1","31","28","19","2","77.8","261","0","8.22","2","1","1","0","1","","","","","","3","26","0","0","1","","","","","","","0","0","21","0.68"
"Gardner Minshew","JAX","1","35","29","17","1","66.7","201","0","8.37","2","0","0","0","2","","","","","","5","27","0","0","0","","","","","","","0","0","18.7","0.53"
"Drew Lock","DEN","1","42","40","18","5","60.5","208","0","6.84","0","0","0","1","2","","","","","","2","3","0","0","1","","","","","","","0","0","7.6","0.18"
"Kyler Murray","ARZ","1","28","24","18","0","81.8","210","0","7.68","1","0","0","1","0","","","","","","8","56","0","0","0","","","","","","","0","0","17","0.61"
"Devlin Hodges","PIT","1","42","38","23","2","71.4","202","0","8.29","1","0","0","4","4","","","","","","1","4","0","0","1","","","","","","","0","0","8.5","0.2"
"Sam Darnold","NYJ","1","34","32","18","1","70.4","218","0","8.37","2","0","0","1","1","","","","","","1","11","0","0","1","","","","","","","1","1","16.8","0.49"
"Kyle Allen","CAR","1","46","41","25","2","73","277","0","5.51","1","0","0","3","1","","","","","","5","25","0","0","1","","","","","","","0","0","14.6","0.32"
"Cooper Rush","DAL","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Taysom Hill","NO","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","2","1","0","0","0","","","","","","","0","0","0.1",""
"Deshaun Watson","HST","1","32","27","19","0","76","243","0","10.08","2","0","0","2","1","","","","","","7","32","0","0","1","","","","","","","0","0","18.9","0.59"
"Patrick Mahomes","KC","1","39","34","27","0","81.8","340","1","9.64","2","1","0","1","3","","","","","","3","11","0","0","0","","","","","","","1","1","21.7","0.56"
