"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Ashton Dulin","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jason Moore","LAC","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Vyncint Smith","NYJ","1","WR","4","3","0","32","0","0","0","0","75","14.5","8","10.67","4.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.2","0.13","2.07"
"Brandon Zylstra","CAR","1","WR","1","1","0","3","0","0","0","0","100","3","3","3","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.3","0.07","1.3"
"Alexander Hollins","MIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Marquise Brown","BLT","1","WR","2","1","0","6","0","0","0","0","50","19","3","6","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.04","1.6"
"Keelan Cole","JAX","1","WR","1","1","0","23","0","0","0","0","100","22","23","23","1","","","","","","","","","","","","1","0","6","0","0","0","6","5","0","0","0","","","","","","","","","0","0","3.9","0.16","1.95"
"A.J. Brown","TEN","1","WR","2","1","0","34","0","0","0","0","50","24.5","17","34","4","","","","","","","","","","","","1","1","49","0","1","1","49","48","1","1","0","","","","","","","","","0","0","15.3","0.25","7.65"
"Deebo Samuel","SF","1","WR","6","4","0","31","0","0","0","0","66.7","2.33","5.17","7.75","7.25","","","","","","","","","","","","3","0","28","0","1","0","9.33","8.33","2","0.67","0","","","","","","","","","0","0","15.9","0.34","2.27"
"D.J. Moore","CAR","1","WR","2","1","0","1","0","0","0","0","50","1","0.5","1","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.1","0.18","1.1"
"Terry McLaurin","WAS","1","WR","9","7","0","86","0","0","0","0","77.8","11.89","9.56","12.29","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.6","0.26","2.23"
"Miles Boykin","BLT","1","WR","1","1","0","8","0","0","0","0","100","7","8","8","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.8","0.07","1.8"
"Damion Ratley","CLV","1","WR","2","0","0","0","0","0","0","0","0","22","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Courtland Sutton","DEN","1","WR","10","5","0","41","0","0","0","0","50","11.1","4.1","8.2","3.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.1","0.13","1.82"
"Allen Lazard","GB","1","WR","9","5","0","45","0","0","0","1","55.6","13.22","5","9","4.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.5","0.16","1.9"
"Travis Fulgham","DET","1","WR","2","0","0","0","0","0","0","1","0","25.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Ventell Bryant","DAL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Riley Ridley","CHI","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Cam Sims","WAS","1","WR","1","1","0","15","0","0","0","0","100","14","15","15","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.5","0.42","2.5"
"D.K. Metcalf","SEA","1","WR","1","0","0","0","0","0","0","1","0","13","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Marquez Valdes-Scantling","GB","1","WR","1","1","0","6","0","0","0","0","100","0","6","6","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.15","1.6"
"Andy Isabella","ARZ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Olamide Zaccheaus","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Mecole Hardman","KC","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Byron Pringle","KC","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"J.J. Arcega-Whiteside","PHI","1","WR","2","2","0","39","0","0","0","0","100","16.5","19.5","19.5","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.9","0.13","2.95"
"Rico Gafford","OAK","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Ishmael Hyman","TB","1","WR","3","1","0","31","0","0","0","1","33.3","21","10.33","31","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.1","0.09","4.1"
"Michael Gallup","DAL","1","WR","10","5","1","98","0","0","0","1","50","19.6","9.8","19.6","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.8","0.26","2.96"
"Fred Brown","DEN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Deon Cain","PIT","1","WR","2","2","0","10","0","0","0","0","100","2.5","5","5","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3","0.25","1.5"
"Tim Patrick","DEN","1","WR","6","5","0","48","0","0","0","0","83.3","10.5","8","9.6","2.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.8","0.21","1.96"
"Cyril Grayson","TB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Krishawn Hogan","NO","1","WR","1","1","0","4","0","0","0","0","100","2","4","4","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.4","0.2","1.4"
"David Moore","SEA","1","WR","2","1","0","21","0","0","0","0","50","19.5","10.5","21","10","","","","","","","","","","","","1","0","19","0","0","0","19","11","0","0","1","","","","","","","","","0","0","5","0.5","2.5"
"Mack Hollins","MIA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Josh Reynolds","LA","1","WR","3","2","0","32","0","0","0","0","66.7","4.67","10.67","16","15.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.2","0.18","2.6"
"John Ross","CIN","1","WR","13","6","0","84","0","0","0","0","46.2","21.54","6.46","14","2","","","","","","","","","","","","2","0","6","0","0","0","3","2","0","0","0","","","","","","","","","0","0","15","0.21","1.88"
"Mike Williams","LAC","1","WR","4","3","0","51","0","0","0","0","75","14.25","12.75","17","2.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.1","0.15","2.7"
"Marcus Johnson","IND","1","WR","3","1","0","2","0","0","0","1","33.3","9","0.67","2","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.2","0.03","1.2"
"Cody Core","NYG","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Michael Thomas","NO","1","WR","17","12","0","136","1","1","0","0","70.6","10.29","8","11.33","3.58","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","31.6","0.52","2.63"
"Sterling Shepard","NYG","1","WR","6","6","0","76","0","1","0","0","100","11.33","12.67","12.67","1.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","19.6","0.28","3.27"
"Will Fuller V","HST","1","WR","2","2","0","11","0","0","0","0","100","5.5","5.5","5.5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.1","0.16","1.55"
"Tyrell Williams","OAK","1","WR","4","4","1","82","0","0","0","0","100","10.5","20.5","20.5","10","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.2","0.22","3.05"
"Damiere Byrd","ARZ","1","WR","1","1","0","11","0","0","0","0","100","3","11","11","8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.1","0.08","2.1"
"Stefon Diggs","MIN","1","WR","5","3","0","57","0","1","0","0","60","18.2","11.4","19","3.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.7","0.32","4.9"
"Justin Hardy","ATL","1","WR","1","0","0","0","0","0","0","0","0","9","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Chris Conley","JAX","1","WR","5","2","1","56","0","1","1","0","40","17.8","11.2","28","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.6","0.28","6.8"
"Breshad Perriman","TB","1","WR","12","7","0","102","1","0","0","0","58.3","20.08","8.5","14.57","2.57","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.2","0.25","2.46"
"DeVante Parker","MIA","1","WR","13","5","1","111","1","1","0","1","38.5","15.85","8.54","22.2","2.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","22.1","0.29","4.42"
"Seth Roberts","BLT","1","WR","2","2","0","23","0","0","0","0","100","7.5","11.5","11.5","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.3","0.12","2.15"
"Allen Robinson II","CHI","1","WR","11","6","0","53","0","0","0","0","54.5","13.36","4.82","8.83","1.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.3","0.19","1.88"
"Cody Latimer","NYG","1","WR","7","5","0","44","0","1","0","1","71.4","7.71","6.29","8.8","3.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.4","0.38","3.08"
"Davante Adams","GB","1","WR","16","13","0","116","1","0","0","1","81.3","4.69","7.25","8.92","4.92","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","24.6","0.4","1.89"
"Brandin Cooks","LA","1","WR","6","4","0","39","0","1","0","0","66.7","11.5","6.5","9.75","6.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.9","0.34","3.48"
"Sammy Watkins","KC","1","WR","5","2","0","28","0","0","0","0","40","16.8","5.6","14","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.8","0.09","2.4"
"DeAndre Hopkins","HST","1","WR","8","5","0","23","0","0","0","0","62.5","4.5","2.88","4.6","2.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.3","0.11","1.46"
"Chris Hogan","CAR","1","WR","3","2","0","16","0","0","0","0","66.7","9.33","5.33","8","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.6","0.07","1.8"
"Julio Jones","ATL","1","WR","15","10","0","166","1","0","0","2","66.7","14.87","11.07","16.6","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","26.6","0.47","2.66"
"Matthew Slater","NE","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Steven Sims","WAS","1","WR","9","6","0","64","0","2","0","1","66.7","11.33","7.11","10.67","3.17","","","","","","","","","","","","2","0","9","0","0","0","4.5","0.5","0","0","0","","","","","","","","","0","0","25.3","0.48","3.16"
"Trent Sherfield","ARZ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Braxton Berrios","NYJ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Hunter Renfrow","OAK","1","WR","9","7","1","107","1","1","1","1","77.8","4","11.89","15.29","11","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.7","0.82","3.39"
"DaeSean Hamilton","DEN","1","WR","6","6","0","65","0","1","0","0","100","6.33","10.83","10.83","4.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18.5","0.45","3.08"
"Da'Mari Scott","NYG","1","WR","1","1","0","11","0","0","0","0","100","-3","11","11","14","","","","","","","","","","","","1","0","5","0","0","0","5","2","0","0","0","","","","","","","","","0","0","2.6","0.22","1.3"
"Spencer Schnell","TB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Greg Ward","PHI","1","WR","4","4","0","71","0","0","0","0","100","10.5","17.75","17.75","7.25","","","","","","","","","","","","1","0","5","0","0","0","5","3","0","0","0","","","","","","","","","0","0","11.6","0.23","2.32"
"Andre Patton","LAC","1","WR","2","2","0","18","0","0","0","0","100","3.5","9","9","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.8","0.08","1.9"
"Cooper Kupp","LA","1","WR","4","4","0","31","0","1","0","0","100","4.5","7.75","7.75","3.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","13.1","0.3","3.27"
"Tyler Boyd","CIN","1","WR","14","9","0","128","1","2","0","1","64.3","9.57","9.14","14.22","4.89","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","33.8","0.41","3.76"
"Jamison Crowder","NYJ","1","WR","8","4","0","60","0","0","0","1","50","12.63","7.5","15","6.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10","0.19","2.5"
"Willie Snead IV","BLT","1","WR","1","0","0","0","0","0","0","0","0","3","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Albert Wilson","MIA","1","WR","7","7","0","79","0","0","0","0","100","2.86","11.29","11.29","8.43","","","","","","","","","","","","1","0","9","0","0","0","9","2","0","0","0","","","","","","","","","0","0","15.8","0.24","1.98"
"Jarius Wright","CAR","1","WR","5","1","0","19","0","0","0","0","20","16.8","3.8","19","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.9","0.07","2.9"
"Randall Cobb","DAL","1","WR","7","5","0","73","0","0","0","2","71.4","11.57","10.43","14.6","3.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.3","0.26","2.46"
"Andre Roberts","BUF","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
