"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","41","36","23","3","78.8","243","0","9","1","0","0","1","1","","","","","","9","46","0","0","2","","","","","","","1","1","17.3","0.42"
"Luke Falk","NYJ","1","28","22","12","0","63.2","98","0","7.21","0","0","0","1","5","","","","","","0","0","0","0","0","","","","","","","0","0","2.9","0.1"
"Mason Rudolph","PIT","1","33","27","14","2","66.7","174","0","6.79","2","1","1","1","2","","","","","","4","15","0","0","1","","","","","","","0","0","15.5","0.47"
"Baker Mayfield","CLV","1","39","36","18","1","61.3","195","0","8.68","1","0","0","1","3","","","","","","1","-1","0","0","1","","","","","","","0","0","10.7","0.27"
"David Blough","DET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Ryan Finley","CIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Lamar Jackson","BLT","1","50","43","22","2","61.5","267","0","12.31","0","0","0","0","3","","","","","","8","46","1","0","0","","","","","","","0","3","21.3","0.43"
"Gardner Minshew","JAX","1","33","30","20","2","73.3","204","0","7.33","2","0","0","0","0","","","","","","4","18","0","0","0","","","","","","","0","0","18","0.55"
"Daniel Jones","NYG","1","45","36","23","2","71.4","336","1","10.2","2","1","1","0","5","","","","","","4","28","2","0","2","","","","","","","1","1","36.2","0.8"
"Kyler Murray","ARZ","1","55","43","30","2","76.2","173","0","5","2","0","0","2","8","","","","","","8","69","0","0","0","","","","","","","0","0","19.8","0.36"
"Josh Rosen","MIA","1","45","39","18","3","60","200","0","10.17","0","0","0","0","3","","","","","","3","13","0","0","0","","","","","","","0","0","9.3","0.21"
"Devlin Hodges","PIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Kyle Allen","CAR","1","29","26","19","2","84","261","0","9.4","4","1","1","0","2","","","","","","3","-1","0","0","2","","","","","","","0","0","26.3","0.91"
"Tim Boyle","GB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jarrett Stidham","NE","1","4","3","2","0","66.7","14","0","4.67","0","0","0","1","1","","","","","","0","0","0","0","0","","","","","","","0","0","-0.4","-0.1"
"Cooper Rush","DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Nick Mullens","SF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Taysom Hill","NO","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","5","0","0","0","","","","","","","0","0","0.5",""
"Joshua Dobbs","JAX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Deshaun Watson","HST","1","41","34","25","1","76.5","351","1","8.82","3","1","1","0","2","","","","","","7","18","0","0","2","","","","","","","0","0","27.8","0.68"
"Patrick Mahomes","KC","1","39","37","27","1","82.4","374","1","9.09","3","1","1","0","1","","","","","","4","9","0","0","2","","","","","","","0","0","27.9","0.72"
"Mitchell Trubisky","CHI","1","34","31","25","2","87.1","231","0","5.52","3","0","0","1","3","","","","","","1","2","0","0","0","","","","","","","0","0","20.4","0.6"
"Brandon Allen","DEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Nate Sudfeld","PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Dak Prescott","DAL","1","34","32","19","2","67.7","246","0","13.45","2","0","0","1","1","","","","","","2","7","1","0","0","","","","","","","0","0","23.5","0.69"
"Jacoby Brissett","IND","1","39","37","28","0","77.8","310","1","6.33","2","0","0","0","1","","","","","","3","4","0","0","0","","","","","","","0","0","20.8","0.53"
"Carson Wentz","PHI","1","42","36","19","5","72.7","259","0","11.3","2","0","0","0","3","","","","","","4","33","0","0","0","","","","","","","0","0","21.7","0.52"
"Jared Goff","LA","1","42","38","24","3","75","268","0","10.42","2","0","0","2","2","","","","","","4","14","0","0","1","","","","","","","0","0","18.1","0.43"
"Trevor Siemian","NYJ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Sean Mannion","MIN","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","2","-2","0","0","0","","","","","","","0","0","-0.2",""
"Marcus Mariota","TEN","1","53","40","23","2","65.8","304","1","11.08","0","0","0","0","9","","","","","","6","34","0","0","1","","","","","","","0","0","15.6","0.29"
"Jameis Winston","TB","1","43","37","23","0","67.6","380","1","13.35","3","0","0","1","4","","","","","","4","3","0","0","0","","","","","","","0","0","26.5","0.62"
"David Fales","NYJ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jimmy Garoppolo","SF","1","33","32","23","3","86.7","277","0","8.53","1","0","0","2","1","","","","","","6","3","0","0","2","","","","","","","0","0","13.4","0.41"
"Derek Carr","OAK","1","38","34","27","1","84.8","242","0","5.64","2","0","0","1","4","","","","","","1","0","0","0","0","","","","","","","0","0","16.7","0.44"
"Teddy Bridgewater","NO","1","29","27","19","1","76.9","177","0","3.46","2","0","0","0","0","","","","","","3","12","0","0","0","","","","","","","0","1","16.3","0.56"
"Matt Barkley","BUF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Mike Glennon","OAK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Geno Smith","SEA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Case Keenum","WAS","1","48","43","30","4","82.9","332","1","6.27","2","0","0","3","4","","","","","","2","3","0","0","3","","","","","","","0","2","18.6","0.39"
"Kirk Cousins","MIN","1","23","21","15","2","94.4","174","0","5.78","1","0","0","0","0","","","","","","4","16","0","0","0","","","","","","","0","0","12.6","0.55"
"Russell Wilson","SEA","1","54","50","32","0","74.4","406","1","12.19","2","0","0","0","0","","","","","","7","51","2","0","0","","","","","","","0","0","41.3","0.76"
"Ryan Tannehill","TEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Robert Griffin III","BLT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Andy Dalton","CIN","1","38","36","20","1","70","250","0","8.4","1","0","0","2","2","","","","","","1","1","1","0","0","","","","","","","0","0","18.1","0.48"
"Brian Hoyer","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Matthew Stafford","DET","1","33","32","18","1","61.3","201","0","12","1","0","0","0","0","","","","","","3","1","0","0","0","","","","","","","0","0","12.1","0.37"
"Joe Flacco","DEN","1","36","29","20","1","77.8","213","0","5.67","0","0","0","1","6","","","","","","2","5","0","0","1","","","","","","","0","0","8","0.22"
"Matt Ryan","ATL","1","34","34","29","1","90.9","304","1","8.85","3","0","0","1","0","","","","","","2","3","0","0","0","","","","","","","0","0","23.5","0.69"
"Matt Moore","KC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Ryan Fitzpatrick","MIA","1","2","2","2","0","100","29","0","13","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","1.2","0.6"
"Aaron Rodgers","GB","1","29","29","17","1","75","235","0","10.13","1","1","0","0","0","","","","","","1","-1","0","0","0","","","","","","","0","0","13.3","0.46"
"Matt Schaub","ATL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Philip Rivers","LAC","1","53","46","31","2","73.3","318","1","10.44","2","0","0","0","5","","","","","","2","9","0","0","1","","","","","","","0","0","21.6","0.41"
"Josh McCown","PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Tom Brady","NE","1","42","42","28","3","81.6","306","1","7.58","2","0","0","0","0","","","","","","2","-1","0","0","0","","","","","","","0","0","20.1","0.48"
