"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Baker Mayfield","CLV","1","40","37","22","4","72.2","249","0","9.53","1","0","0","3","0","","","","","","4","35","1","0","0","","","","","","","1","1","20.5","0.51"
"Ryan Finley","CIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Lamar Jackson","BLT","1","37","33","21","0","75","236","0","7.79","0","0","0","0","1","","","","","","19","152","1","0","0","","","","","","","0","0","30.6","0.83"
"Dwayne Haskins","WAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Gardner Minshew","JAX","1","32","29","14","0","51.9","163","0","8","0","0","0","1","2","","","","","","2","1","0","0","0","","","","","","","0","0","5.6","0.17"
"Daniel Jones","NYG","1","33","31","15","0","55.6","161","0","10.48","1","1","1","3","1","","","","","","2","8","0","0","0","","","","","","","0","0","8.2","0.25"
"Kyler Murray","ARZ","1","41","37","27","1","87.5","340","1","7.66","3","0","0","0","0","","","","","","11","32","0","0","0","","","","","","","0","0","28.8","0.7"
"Will Grier","CAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Josh Rosen","MIA","1","30","25","15","1","69.6","85","0","2.09","0","0","0","2","5","","","","","","0","0","0","0","0","","","","","","","0","0","1.4","0.05"
"Devlin Hodges","PIT","1","21","20","15","0","83.3","132","0","5.06","1","0","0","1","0","","","","","","3","8","0","0","0","","","","","","","0","0","9.1","0.43"
"Sam Darnold","NYJ","1","35","32","23","0","76.7","338","1","8.77","2","1","1","1","2","","","","","","5","1","0","0","0","","","","","","","0","0","20.6","0.59"
"Kyle Allen","CAR","1","34","32","20","3","76.7","227","0","9.6","2","0","0","0","2","","","","","","3","3","0","0","0","","","","","","","0","0","17.4","0.51"
"Tim Boyle","GB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jarrett Stidham","NE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Cooper Rush","DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Nick Mullens","SF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Matt Haack","MIA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Taysom Hill","NO","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","3","17","0","0","0","","","","","","","0","0","1.7",""
"Joshua Dobbs","JAX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Deshaun Watson","HST","1","47","42","30","4","81","280","0","8.52","1","0","0","2","0","","","","","","10","42","2","0","0","","","","","","","1","1","29.4","0.63"
"Patrick Mahomes","KC","1","36","35","19","4","69.7","273","0","9.39","3","1","0","1","1","","","","","","1","-1","0","0","1","","","","","","","0","0","21.8","0.61"
"Jeff Driskel","DET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Brandon Allen","DEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Nate Sudfeld","PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Dak Prescott","DAL","1","42","40","28","5","82.5","277","0","8.35","0","0","0","0","1","","","","","","3","11","1","0","0","","","","","","","0","1","18.2","0.43"
"Paxton Lynch","PIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Carson Wentz","PHI","1","43","40","26","2","71.8","306","1","9.64","2","0","0","1","2","","","","","","2","23","0","0","0","","","","","","","0","0","21.5","0.5"
"Jared Goff","LA","1","28","24","13","1","63.6","78","0","6.32","0","0","0","0","4","","","","","","1","0","0","0","2","","","","","","","0","0","3.1","0.11"
"Brett Hundley","ARZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Sean Mannion","MIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Marcus Mariota","TEN","1","23","18","7","2","60","63","0","8.73","0","0","0","2","3","","","","","","2","4","0","0","0","","","","","","","0","0","0.9","0.04"
"Jameis Winston","TB","1","62","54","30","5","70","400","1","12","1","0","0","5","7","","","","","","1","1","0","0","2","","","","","","","2","2","15.1","0.24"
"Garrett Gilbert","CLV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"David Fales","NYJ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"A.J. McCarron","HST","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jimmy Garoppolo","SF","1","35","33","24","2","83.9","243","0","4.19","0","0","0","1","2","","","","","","5","4","1","0","1","","","","","","","0","0","15.1","0.43"
"Teddy Bridgewater","NO","1","39","36","24","1","75.8","240","0","5.58","1","0","0","0","3","","","","","","3","0","0","0","0","","","","","","","0","0","13.6","0.35"
"Blake Bortles","LA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Ryan Griffin","TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Geno Smith","SEA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Case Keenum","WAS","1","27","25","13","1","63.6","166","0","9.36","2","0","0","0","0","","","","","","4","10","0","0","1","","","","","","","0","0","15.6","0.58"
"Kirk Cousins","MIN","1","31","29","22","2","85.7","333","1","13.71","4","2","2","1","1","","","","","","2","0","0","0","0","","","","","","","0","0","28.3","0.91"
"Russell Wilson","SEA","1","41","33","23","2","83.3","295","0","8.77","2","0","0","0","3","","","","","","9","31","1","0","0","","","","","","","0","0","28.9","0.7"
"Ryan Tannehill","TEN","1","21","16","13","0","81.3","144","0","9.5","0","0","0","1","4","","","","","","1","6","0","0","0","","","","","","","0","0","5.4","0.26"
"Robert Griffin III","BLT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Tyrod Taylor","LAC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
