"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Vyncint Smith","NYJ","1","WR","1","1","0","22","0","0","0","0","100","15","22","22","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.2","0.19","3.2"
"Damion Willis","CIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Keelan Cole","JAX","1","WR","3","2","0","18","0","0","0","0","66.7","16.33","6","9","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.8","0.13","1.9"
"A.J. Brown","TEN","1","WR","5","4","1","135","1","1","1","0","80","9.2","27","33.75","24","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.5","0.64","5.88"
"N'Keal Harry","NE","1","WR","4","1","0","10","0","1","0","2","25","13.5","2.5","10","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8","0.15","8"
"D.J. Moore","CAR","1","WR","8","6","2","126","1","2","1","1","75","14.25","15.75","21","7.83","","","","","","","","","","","","1","0","8","0","0","0","8","3","0","0","0","","","","","","","","","0","1","31.4","0.51","4.49"
"Terry McLaurin","WAS","1","WR","12","5","0","72","0","0","0","1","41.7","17.58","6","14.4","1.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.2","0.21","2.44"
"Miles Boykin","BLT","1","WR","2","2","0","54","0","0","0","0","100","25.5","27","27","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.4","0.2","3.7"
"Auden Tate","CIN","1","WR","3","1","0","10","0","0","0","0","33.3","16","3.33","10","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.04","2"
"Courtland Sutton","DEN","1","WR","8","1","0","27","0","0","0","0","12.5","12.75","3.38","27","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.7","0.08","3.7"
"Christian Blake","ATL","1","WR","9","2","0","16","0","0","0","0","22.2","8.33","1.78","8","3.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","3.6","0.1","1.8"
"D.K. Metcalf","SEA","1","WR","6","3","0","35","0","0","0","3","50","18.17","5.83","11.67","7.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.5","0.12","2.17"
"Marquez Valdes-Scantling","GB","1","WR","3","1","0","7","0","0","0","0","33.3","24.67","2.33","7","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.7","0.06","1.7"
