"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","5","5","3","0","60","5","0","7.2","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0.2","0.04"
"Baker Mayfield","CLV","1","37","27","12","1","56.5","279","0","17.17","3","2","1","3","6","","","","","","4","29","0","0","1","","","","","","","0","0","23.1","0.62"
"David Blough","DET","1","32","29","12","3","55.6","122","0","9.37","0","0","0","1","1","","","","","","2","11","0","0","0","","","","","","","0","0","5","0.16"
"Gardner Minshew","JAX","1","44","39","27","6","84.6","295","0","5.82","3","0","0","1","3","","","","","","5","7","0","0","1","","","","","","","1","1","23.5","0.53"
"Drew Lock","DEN","1","34","28","17","0","68","177","0","7.68","1","0","0","0","2","","","","","","6","29","0","0","2","","","","","","","0","0","14","0.41"
"Daniel Jones","NYG","1","53","47","28","2","63.8","301","1","11.13","1","0","0","1","5","","","","","","2","26","0","0","2","","","","","","","0","0","17.6","0.33"
"Kyler Murray","ARZ","1","43","42","26","1","75","325","1","10.97","2","0","0","2","1","","","","","","2","0","0","0","2","","","","","","","0","0","19","0.44"
"Will Grier","CAR","1","11","8","1","1","33.3","4","0","11.83","0","0","0","1","1","","","","","","3","5","0","0","1","","","","","","","0","0","-0.3","-0.03"
"Trace McSorley","BLT","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","0","0","0","","","","","","","0","0","0.1",""
"Devlin Hodges","PIT","1","27","25","9","5","70","95","0","6.7","0","0","0","0","2","","","","","","1","-1","0","0","1","","","","","","","0","0","3.7","0.14"
"Sam Darnold","NYJ","1","38","36","23","2","78.1","199","0","6.81","1","0","0","1","2","","","","","","3","-2","0","0","1","","","","","","","0","0","10.8","0.28"
