"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","31","24","19","0","79.2","231","0","8.29","1","0","0","0","4","","","","","","10","43","1","0","1","","","","","","","0","0","23.5","0.76"
"Baker Mayfield","CLV","1","37","32","18","1","61.3","196","0","11.87","1","0","0","1","5","","","","","","1","2","0","0","1","","","","","","","0","0","11","0.3"
"David Blough","DET","1","41","38","22","3","69.4","280","0","9.19","2","1","1","1","2","","","","","","1","1","0","0","0","","","","","","","0","0","18.3","0.45"
"Lamar Jackson","BLT","1","24","23","14","3","73.9","105","0","8.7","1","0","0","0","1","","","","","","16","101","1","0","1","","","","","","","0","0","24.3","1.01"
"Dwayne Haskins","WAS","1","32","25","13","3","69.6","147","0","9.09","0","0","0","0","5","","","","","","4","6","0","0","2","","","","","","","0","1","6.5","0.2"
"Gardner Minshew","JAX","1","31","27","16","0","69.6","147","0","4.91","1","0","0","1","2","","","","","","2","8","0","0","1","","","","","","","1","1","9.7","0.31"
"Drew Lock","DEN","1","31","28","18","2","76.9","134","0","7.38","2","0","0","1","0","","","","","","3","15","0","0","0","","","","","","","0","0","13.9","0.45"
"Daniel Jones","NYG","1","39","37","20","3","71.9","240","0","7.91","1","0","0","3","1","","","","","","4","10","0","0","1","","","","","","","0","0","11.6","0.3"
"Kyler Murray","ARZ","1","42","34","19","2","67.7","163","0","5.87","0","0","0","1","6","","","","","","4","28","1","0","0","","","","","","","0","0","14.3","0.34"
"Devlin Hodges","PIT","1","23","21","14","1","83.3","212","0","11.56","1","0","0","1","1","","","","","","5","2","0","0","1","","","","","","","0","0","11.7","0.51"
"Sam Darnold","NYJ","1","54","48","28","5","76.7","239","0","9.88","0","0","0","0","4","","","","","","2","9","0","0","0","","","","","","","0","0","10.5","0.19"
"Kyle Allen","CAR","1","56","46","27","5","76.2","278","0","10.38","2","0","0","1","7","","","","","","4","22","1","0","2","","","","","","","0","0","26.3","0.47"
"Tim Boyle","GB","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","2","-4","0","0","0","","","","","","","0","0","-0.4",""
"Taysom Hill","NO","1","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","2","33","1","0","0","","","","","","","0","0","9.3","9.3"
